date,open,high,low,close,adjusted_close,volume
2022-07-08,2351.0,2408.7,2350.28,2403.37,120.0319,29082200
2022-07-11,2373.0,2375.89,2324.69,2330.45,116.3901,26830460
2022-07-12,2336.77,2356.99,2292.3,2296.99,114.719,24970160
2022-07-13,2252.78,2303.14,2236.46,2243.74,112.0595,38958860
2022-07-14,2216.52,2239.75,2186.51,2228.8,111.3133,32365540
2022-07-15,2259.26,2280.01,2236.45,2255.34,112.6388,34330760
2022-07-18,113.44,114.8,109.3,109.91,109.7851,33353988
2022-07-19,111.73,114.81,110.5,114.62,114.4897,30992330
2022-07-20,114.06,116.33,113.26,114.7,114.5696,26780090
2022-07-21,115.09,115.21,111.91,115.04,114.9092,27267850
2022-07-22,111.81,113.18,107.6,108.36,108.2368,44455301
2022-07-25,108.88,110.58,107.01,108.21,108.087,28289939
2022-07-26,107.43,107.74,104.76,105.44,105.3201,36626633
2022-07-27,109.6,114.4,108.42,113.6,113.4709,41474621
2022-07-28,112.8,114.7,111.851,114.59,114.4597,23303840
2022-07-29,113.4,116.9,113.23,116.64,116.5074,31336180
2022-08-01,115.53,117.12,114.69,115.48,115.3487,22856199
2022-08-02,114.43,117.08,114.26,115.9,115.7683,17911039
2022-08-03,116.34,119.42,116.15,118.78,118.645,25302820
2022-08-04,118.3,119.5,117.71,118.87,118.7349,15757700
2022-08-05,116.93,118.86,116.71,118.22,118.0856,15615660
2022-08-08,119.12,120.86,117.83,118.14,118.0057,17061109
2022-08-09,117.99,118.2,116.56,117.5,117.3664,15424260
2022-08-10,119.59,121.78,119.36,120.65,120.5129,20497020
2022-08-11,122.08,122.3402,119.55,119.82,119.6838,16671631
2022-08-12,121.16,122.65,120.4001,122.65,122.5106,16121090
2022-08-15,122.21,123.26,121.57,122.88,122.7403,15524950
2022-08-16,122.32,123.2276,121.535,122.51,122.3707,15626170
2022-08-17,120.93,122.15,120.2,120.32,120.1832,17589160
2022-08-18,120.23,121.69,119.5502,120.86,120.7226,15652030
2022-08-19,119.87,120.0,117.67,118.12,117.9857,20186980
2022-08-22,116.1,116.5,114.67,115.07,114.9392,19316020
2022-08-23,114.32,115.93,114.3,114.77,114.6395,14390690
2022-08-24,114.45,115.7171,113.78,114.7,114.5696,16051170
2022-08-25,115.15,117.78,115.05,117.7,117.5662,14874670
2022-08-26,115.81,116.6,111.22,111.3,111.1735,31698670
2022-08-29,110.78,111.96,109.81,110.34,110.2146,20386141
2022-08-30,111.03,111.37,108.8,109.91,109.7851,20548199
2022-08-31,111.63,111.77,109.05,109.15,109.0259,25897980
2022-09-01,109.2,111.22,108.19,110.55,110.4243,22784391
2022-09-02,111.34,111.675,108.13,108.68,108.5565,20618080
2022-09-06,108.135,108.88,106.51,107.48,107.3578,20565051
2022-09-07,107.76,110.99,107.615,110.48,110.3544,22987180
2022-09-08,109.18,110.58,108.06,109.42,109.2956,21660650
2022-09-09,110.05,112.0,110.0,111.78,111.6529,21745029
2022-09-12,111.99,112.64,110.93,111.87,111.7428,19732910
2022-09-13,108.89,109.37,105.0,105.31,105.1903,33014988
2022-09-14,105.44,106.1,104.5,105.87,105.7497,22115811
